credit_score,annual_income,loan_amount,debt_to_income_ratio,employment_status,home_ownership,loan_status
653,10281625,5523318,0.161,Employed,Mortgage,0
693,3955448,2002375,0.22,Employed,Mortgage,0
727,8753429,2157834,0.114,Self-Employed,Rent,0
737,3600789,1332482,0.171,Employed,Rent,0
743,4822051,1465697,0.173,Employed,Own,0
652,2907656,3249533,0.249,Self-Employed,Mortgage,0
643,6239110,1617172,0.322,Employed,Mortgage,0
749,10235809,2398451,0.259,Employed,Own,0
665,4781049,1442125,0.208,Employed,Rent,0
578,4503663,1301938,0.236,Employed,Mortgage,0
589,2846319,617852,0.155,Employed,Rent,0
606,4431287,415000,0.265,Employed,Own,0
720,2241000,1377468,0.374,Employed,Rent,0
691,3148356,1720922,0.211,Employed,Rent,0
735,5566229,672383,0.271,Employed,Mortgage,0
646,9610321,1614765,0.149,Employed,Rent,0
693,16600000,1717685,0.267,Employed,Own,1
730,3706282,415000,0.302,Unemployed,Mortgage,1
655,10185677,871749,0.261,Employed,Rent,0
717,5613705,2199915,0.33,Employed,Rent,0
627,4607579,2169039,0.299,Employed,Own,0
651,6169556,737704,0.264,Employed,Mortgage,1
649,5125831,1848244,0.235,Employed,Own,0
584,5251576,3383827,0.234,Self-Employed,Rent,1
719,4051811,2849888,0.173,Employed,Own,0
642,2470163,1547452,0.09,Employed,Mortgage,0
681,2296776,1192129,0.295,Employed,Mortgage,1
718,6889166,1064807,0.286,Self-Employed,Rent,0
716,4327454,2295199,0.301,Employed,Rent,0
733,3688769,1896301,0.058,Employed,Own,0
672,4990707,2570012,0.141,Self-Employed,Own,0
646,7394968,1814214,0.21,Self-Employed,Rent,0
674,5438575,2934299,0.204,Employed,Own,0
545,3579790,1767485,0.284,Unemployed,Rent,1
564,9174986,2865160,0.187,Self-Employed,Rent,1
574,10945459,3043195,0.136,Employed,Rent,0
600,6363693,941884,0.37,Self-Employed,Rent,0
712,8086192,466543,0.314,Employed,Rent,0
608,9247113,4873345,0.165,Employed,Rent,0
650,8744133,1979799,0.323,Employed,Rent,0
784,6755619,498166,0.086,Self-Employed,Mortgage,0
651,6702665,1003636,0.239,Employed,Own,0
739,6444037,2839513,0.297,Employed,Mortgage,0
605,2870970,1360121,0.363,Employed,Rent,1
664,7054668,1155941,0.076,Employed,Mortgage,1
604,2522951,4410288,0.13,Unemployed,Rent,1
653,3340169,794725,0.227,Self-Employed,Mortgage,1
747,9536368,946117,0.177,Employed,Mortgage,0
542,7564288,1918047,0.167,Self-Employed,Rent,1
715,10454431,2174185,0.261,Self-Employed,Rent,0
699,4338327,2341430,0.177,Employed,Own,0
632,2793282,3130511,0.369,Employed,Own,1
564,4406636,1900949,0.334,Employed,Mortgage,0
686,5229664,2330059,0.263,Employed,Own,0
638,5169738,1379709,0.287,Employed,Own,0
699,8759737,1728475,0.248,Employed,Rent,0
682,4148257,1783587,0.308,Unemployed,Mortgage,1
808,5925951,1923027,0.192,Employed,Rent,0
661,3031409,2840841,0.438,Self-Employed,Mortgage,1
598,6224502,2439868,0.396,Unemployed,Rent,1
694,4977261,1706231,0.07,Employed,Own,0
698,3415865,938896,0.142,Employed,Mortgage,0
789,4416762,1734451,0.247,Self-Employed,Rent,0
747,4532381,1622069,0.299,Self-Employed,Rent,0
709,4341647,1893728,0.142,Employed,Mortgage,1
797,12049193,7751619,0.313,Employed,Mortgage,0
585,4730834,1146479,0.17,Employed,Own,0
629,4399000,2223155,0.239,Self-Employed,Rent,0
606,2075000,3494715,0.234,Self-Employed,Mortgage,0
649,3177904,1771718,0.154,Employed,Mortgage,1
570,4357002,8300000,0.252,Employed,Rent,1
731,3526836,1269568,0.172,Employed,Mortgage,0
662,9916342,2075498,0.134,Unemployed,Rent,0
562,4576205,945702,0.083,Unemployed,Rent,1
599,9464573,1293389,0.294,Self-Employed,Mortgage,0
705,5125250,1969092,0.246,Employed,Own,0
747,5062917,2991403,0.239,Employed,Rent,0
840,4753742,2068277,0.138,Employed,Rent,0
850,4979004,3993628,0.189,Employed,Mortgage,1
713,11736781,1547867,0.25,Employed,Own,0
601,2075000,1311068,0.174,Self-Employed,Mortgage,1
509,2075000,8300000,0.361,Employed,Rent,1
701,3787622,2179912,0.286,Employed,Mortgage,0
615,5005813,999652,0.219,Unemployed,Mortgage,1
647,7017318,1017497,0.248,Employed,Mortgage,0
631,6295716,855066,0.087,Employed,Rent,0
669,4100864,3186536,0.084,Unemployed,Rent,0
765,8271780,1281769,0.138,Employed,Rent,0
693,8318011,1808487,0.264,Employed,Mortgage,0
667,5448618,1582312,0.299,Employed,Rent,0
597,8041870,2760414,0.442,Self-Employed,Rent,1
546,5695377,914494,0.21,Employed,Mortgage,0
641,3753094,779121,0.287,Employed,Mortgage,0
676,7044459,1935477,0.337,Employed,Rent,0
821,5252157,2519382,0.175,Employed,Mortgage,0
690,4972862,2087782,0.187,Self-Employed,Mortgage,0
759,10379233,938647,0.172,Employed,Rent,0
640,2075000,2657992,0.133,Employed,Own,0
585,2446093,982803,0.436,Employed,Own,1
603,2745059,1148305,0.209,Employed,Rent,0
622,4144190,854319,0.283,Employed,Rent,1
850,4375511,4112982,0.418,Employed,Rent,0
614,2338857,2577233,0.392,Employed,Rent,0
747,3036638,2526437,0.121,Employed,Mortgage,0
608,3231356,3960511,0.208,Self-Employed,Own,1
755,16600000,8300000,0.256,Unemployed,Own,0
711,12233785,499992,0.368,Employed,Rent,1
667,4044922,986538,0.232,Employed,Mortgage,0
677,4143526,1074684,0.136,Employed,Rent,1
628,2797515,911921,0.202,Employed,Mortgage,0
716,2075000,778042,0.069,Employed,Rent,0
644,4687425,1341197,0.262,Unemployed,Own,0
582,3017465,705915,0.29,Self-Employed,Own,0
578,4763121,2091434,0.216,Employed,Rent,0
694,2232700,1715195,0.331,Unemployed,Mortgage,1
806,3395115,2316447,0.144,Employed,Mortgage,0
693,5352919,2360188,0.275,Employed,Own,0
671,5968115,2522951,0.179,Employed,Mortgage,0
703,6123076,1273718,0.172,Employed,Rent,0
784,2567854,7301842,0.166,Self-Employed,Mortgage,0
698,7619234,1949255,0.273,Employed,Rent,0
647,3330873,449113,0.237,Employed,Mortgage,0
769,6819280,820123,0.226,Employed,Rent,0
714,4943148,489202,0.291,Unemployed,Mortgage,0
803,2497138,1674442,0.202,Employed,Own,0
695,4242794,1518983,0.207,Employed,Rent,0
582,5965625,1191797,0.372,Employed,Mortgage,0
571,6751801,6759686,0.137,Unemployed,Mortgage,1
812,4631317,2429327,0.153,Employed,Rent,0
818,10689072,2749956,0.364,Employed,Mortgage,0
666,8224221,862038,0.31,Self-Employed,Mortgage,0
649,4371029,821949,0.186,Employed,Rent,0
797,7231126,1697433,0.168,Employed,Own,0
591,13068765,1867168,0.171,Employed,Mortgage,0
608,13244393,451105,0.32,Employed,Mortgage,1
731,2689449,1458061,0.198,Employed,Rent,0
648,3126942,1670624,0.149,Employed,Rent,0
680,10441483,1422952,0.307,Employed,Rent,0
667,2927659,936074,0.131,Employed,Own,0
707,2565281,1133863,0.195,Employed,Own,0
793,3897099,1461630,0.337,Unemployed,Own,1
687,6131542,1762754,0.254,Employed,Rent,0
732,4721538,2526105,0.439,Employed,Mortgage,0
516,3589667,3525176,0.209,Employed,Mortgage,1
676,3547420,1346177,0.203,Self-Employed,Mortgage,0
613,3480439,1202006,0.185,Employed,Rent,0
582,3201393,2247225,0.286,Employed,Own,0
610,15551295,2536812,0.228,Employed,Rent,0
653,5766591,1220681,0.273,Employed,Rent,1
753,7742406,2876614,0.148,Self-Employed,Own,0
574,3891455,3283895,0.298,Self-Employed,Mortgage,1
682,4528314,4085758,0.271,Self-Employed,Rent,0
641,3478364,5744015,0.236,Employed,Mortgage,1
654,2075000,901961,0.172,Employed,Own,0
760,2495063,1670375,0.357,Employed,Rent,0
723,2075000,1667304,0.295,Self-Employed,Mortgage,0
787,2075000,1544464,0.25,Unemployed,Rent,1
668,2733688,1050033,0.117,Unemployed,Rent,0
624,9638873,584735,0.241,Employed,Mortgage,0
662,4860397,1765078,0.246,Self-Employed,Mortgage,0
699,9474616,966037,0.171,Employed,Rent,0
694,6103239,1756861,0.178,Self-Employed,Mortgage,0
593,7349318,948856,0.313,Employed,Mortgage,0
687,3167280,766090,0.219,Employed,Mortgage,1
698,6457898,1949006,0.148,Employed,Mortgage,0
850,7154102,1838533,0.209,Unemployed,Own,0
830,3724791,2481451,0.121,Employed,Mortgage,0
612,6573849,7640316,0.203,Employed,Mortgage,0
657,6595761,2008600,0.484,Employed,Mortgage,0
563,3775587,2323087,0.23,Employed,Mortgage,0
633,2834699,778042,0.267,Unemployed,Rent,1
705,2749043,671968,0.224,Employed,Rent,0
776,5189243,5009382,0.136,Employed,Rent,0
622,5852330,866686,0.221,Self-Employed,Rent,1
628,3343655,796551,0.21,Employed,Own,0
508,5036025,1609536,0.355,Employed,Mortgage,1
667,6610120,1553013,0.178,Employed,Mortgage,0
595,6769480,879468,0.326,Employed,Mortgage,0
638,10797055,1336217,0.162,Employed,Mortgage,0
610,9410457,3911375,0.262,Employed,Mortgage,0
672,3012236,940971,0.126,Employed,Mortgage,1
539,11531937,623579,0.273,Self-Employed,Mortgage,1
563,3810779,3199982,0.163,Self-Employed,Rent,1
850,8379348,2334790,0.101,Self-Employed,Mortgage,0
577,5141352,1071364,0.152,Employed,Mortgage,0
592,4044092,546555,0.259,Employed,Mortgage,0
827,2075000,982222,0.229,Unemployed,Own,0
850,4561016,1592106,0.104,Self-Employed,Mortgage,0
586,2278765,3740810,0.257,Employed,Mortgage,1
651,8060545,800701,0.214,Employed,Rent,0
707,10609226,1559155,0.156,Employed,Mortgage,0
818,3336351,2653676,0.176,Employed,Own,0
601,5779456,415000,0.235,Employed,Own,0
660,3457780,3410885,0.211,Employed,Own,0
742,3629507,723013,0.167,Unemployed,Rent,0
715,7319770,2087035,0.182,Employed,Mortgage,0
650,4874673,1966021,0.146,Employed,Own,0
669,11859787,3534389,0.172,Employed,Mortgage,0
570,3904818,2432647,0.111,Self-Employed,Mortgage,0
661,8190689,415000,0.104,Self-Employed,Mortgage,0
659,5217629,954998,0.158,Employed,Mortgage,1
699,7398039,1822265,0.27,Employed,Rent,0
636,3973874,1443204,0.211,Employed,Rent,1
718,4847947,2310969,0.266,Self-Employed,Own,0
761,4690662,2874539,0.219,Employed,Own,0
692,3271694,2532579,0.251,Self-Employed,Own,0
708,6919710,1423782,0.158,Employed,Rent,0
684,6878874,454259,0.156,Employed,Rent,0
680,6686646,1202587,0.206,Employed,Rent,0
622,10716794,2213942,0.268,Employed,Own,0
705,10257472,771070,0.145,Employed,Mortgage,0
672,4120037,2573415,0.177,Employed,Own,0
847,5988616,3124286,0.17,Self-Employed,Rent,0
806,3638388,1807823,0.441,Employed,Mortgage,0
711,5027891,415000,0.232,Unemployed,Mortgage,0
619,3681963,676118,0.223,Employed,Rent,0
591,11171468,6194539,0.17,Employed,Own,1
775,5960645,1128385,0.062,Unemployed,Mortgage,0
701,4456270,415000,0.302,Self-Employed,Rent,0
718,9026250,3927477,0.121,Employed,Rent,0
540,2075000,1669794,0.189,Self-Employed,Own,1
754,2075000,3585102,0.12,Employed,Mortgage,0
716,7398288,2008102,0.312,Employed,Mortgage,0
591,5122096,2280342,0.279,Employed,Mortgage,0
642,5632463,2132768,0.104,Employed,Mortgage,0
701,2560301,2695508,0.144,Employed,Mortgage,1
684,4912189,8146035,0.218,Employed,Own,0
657,13532403,3264224,0.071,Unemployed,Rent,0
672,7503947,547219,0.078,Self-Employed,Mortgage,0
660,5409608,2261418,0.174,Self-Employed,Rent,0
692,3990059,3677979,0.298,Self-Employed,Rent,1
798,4079782,3838999,0.168,Employed,Mortgage,0
475,2075000,1227155,0.306,Employed,Own,0
661,5652798,3738901,0.226,Employed,Rent,0
694,7584208,3166865,0.179,Employed,Mortgage,0
704,2260339,8300000,0.292,Employed,Mortgage,1
650,3570162,978570,0.138,Employed,Rent,0
539,2785978,1159676,0.269,Employed,Mortgage,1
706,3066850,1335138,0.333,Employed,Own,0
818,5104251,1173703,0.173,Employed,Rent,0
557,2075000,887187,0.096,Employed,Rent,0
749,6756200,415000,0.067,Employed,Own,0
654,7244572,1220266,0.16,Unemployed,Rent,0
675,4383230,2142313,0.176,Employed,Rent,0
596,2075000,1171213,0.203,Self-Employed,Own,1
653,3019623,6411501,0.226,Self-Employed,Own,0
784,9205281,1669794,0.194,Employed,Mortgage,0
727,2075000,4083932,0.148,Employed,Mortgage,1
819,4176892,1986439,0.128,Employed,Own,0
774,2754770,2950069,0.111,Employed,Mortgage,0
715,7430658,2011339,0.237,Employed,Mortgage,0
820,3545843,4312348,0.287,Unemployed,Own,0
715,6081825,1720258,0.13,Unemployed,Mortgage,0
746,6593354,2341098,0.271,Employed,Mortgage,1
656,12446514,2137748,0.174,Employed,Rent,0
685,4490051,1351904,0.247,Employed,Mortgage,0
624,5997580,2196429,0.32,Self-Employed,Mortgage,0
759,2365085,7904256,0.211,Employed,Rent,1
586,9011808,1369002,0.121,Employed,Mortgage,0
743,3397605,2218756,0.113,Self-Employed,Own,0
665,3754505,3989976,0.21,Employed,Mortgage,1
774,4914596,3674825,0.137,Employed,Rent,0
740,2274781,1667885,0.307,Employed,Rent,0
826,5571790,415000,0.165,Employed,Rent,0
738,8061209,2375045,0.225,Employed,Mortgage,0
554,5753394,415000,0.236,Employed,Mortgage,0
675,2245399,4628744,0.379,Employed,Rent,1
586,4671240,1862603,0.159,Unemployed,Own,0
639,7201910,3330458,0.22,Employed,Rent,0
801,2075000,879717,0.24,Unemployed,Rent,0
731,2903589,558009,0.186,Employed,Own,0
624,7702898,1985443,0.172,Self-Employed,Mortgage,0
599,5688073,1615761,0.136,Employed,Mortgage,0
683,6106227,1172624,0.269,Self-Employed,Own,0
583,12592179,1755201,0.277,Employed,Own,1
626,6281523,8300000,0.255,Employed,Rent,1
705,6905185,2966835,0.36,Employed,Mortgage,0
772,16600000,3448650,0.24,Employed,Mortgage,0
729,4465732,2986423,0.135,Unemployed,Rent,0
497,3334691,4659703,0.196,Unemployed,Own,0
704,6154782,1448101,0.116,Self-Employed,Mortgage,0
686,6189310,415000,0.166,Employed,Own,0
713,3818913,1449678,0.331,Self-Employed,Mortgage,0
809,2965756,2919857,0.261,Self-Employed,Mortgage,0
515,15772241,839047,0.139,Employed,Rent,1
633,5851832,1462128,0.394,Employed,Own,1
727,3445911,1019240,0.12,Employed,Mortgage,0
553,7856116,4733905,0.218,Employed,Rent,1
798,4705602,2795357,0.293,Employed,Rent,0
709,4379329,2610184,0.298,Self-Employed,Mortgage,1
748,6582813,2555985,0.128,Employed,Rent,0
634,2604872,1611611,0.141,Employed,Mortgage,1
745,5927777,1899538,0.166,Employed,Mortgage,0
765,12933309,721602,0.176,Self-Employed,Rent,0
699,6274053,415000,0.288,Unemployed,Mortgage,0
699,4117381,1837454,0.155,Self-Employed,Rent,0
702,3856595,2075332,0.192,Employed,Own,0
611,4047744,3856678,0.145,Employed,Own,0
668,4376922,4969210,0.24,Employed,Rent,1
668,4114144,4964562,0.188,Employed,Mortgage,0
711,7857610,822613,0.191,Employed,Mortgage,0
760,2089110,1292725,0.347,Employed,Own,0
595,7647122,2315368,0.095,Self-Employed,Rent,0
670,4110243,8300000,0.134,Employed,Mortgage,0
799,6000236,4661778,0.229,Self-Employed,Own,0
621,2828723,3621539,0.152,Employed,Rent,1
614,9656635,1260936,0.185,Employed,Mortgage,0
696,9264128,891420,0.246,Employed,Rent,0
748,8029503,2873626,0.279,Employed,Mortgage,0
681,2330225,765592,0.184,Employed,Rent,0
786,7522456,1399961,0.26,Employed,Own,0
749,6084564,1526536,0.16,Employed,Mortgage,0
747,2227056,5044823,0.202,Employed,Rent,0
724,4909533,1290484,0.217,Employed,Own,0
850,5963135,415000,0.238,Self-Employed,Own,0
664,6562478,2354793,0.204,Self-Employed,Mortgage,1
520,5430109,1014094,0.086,Employed,Mortgage,0
808,5748580,1704322,0.26,Employed,Rent,0
643,10382636,1556831,0.413,Employed,Mortgage,0
689,9173741,1365765,0.276,Employed,Rent,0
785,2075000,2876448,0.128,Employed,Rent,0
552,4240221,565728,0.315,Employed,Own,0
580,4576786,1151874,0.262,Employed,Mortgage,0
552,2075000,2670193,0.296,Unemployed,Rent,1
616,5209163,1076261,0.17,Employed,Rent,1
715,9278570,536429,0.34,Self-Employed,Own,0
722,2886491,2641392,0.23,Employed,Rent,0
702,5879886,3630918,0.257,Employed,Rent,0
567,3143791,1602896,0.142,Unemployed,Rent,1
495,3551487,419233,0.185,Employed,Rent,0
684,10402307,2711527,0.343,Employed,Rent,0
642,3788784,517588,0.336,Unemployed,Own,1
717,6261603,2053420,0.246,Employed,Rent,0
736,2075000,888764,0.217,Employed,Mortgage,0
691,12610024,734467,0.055,Employed,Mortgage,0
741,6717107,1214124,0.151,Employed,Mortgage,0
698,4536116,1454990,0.192,Employed,Mortgage,0
722,6626637,1053768,0.165,Employed,Mortgage,0
624,2455721,2497802,0.181,Self-Employed,Mortgage,0
666,8976367,1210555,0.171,Employed,Mortgage,0
696,4226360,3285306,0.102,Employed,Mortgage,0
746,4487478,2014078,0.36,Employed,Mortgage,0
649,3886475,1015173,0.203,Employed,Mortgage,0
722,3717321,902293,0.164,Unemployed,Rent,0
659,7033337,522070,0.194,Employed,Mortgage,0
671,5647901,2027607,0.175,Employed,Mortgage,0
746,6884020,1290650,0.121,Self-Employed,Rent,0
521,4947713,415000,0.117,Self-Employed,Own,0
576,6423287,1136934,0.123,Unemployed,Rent,0
561,4030563,880381,0.176,Employed,Rent,0
493,15152978,4984316,0.209,Employed,Own,1
626,2269054,502233,0.209,Employed,Rent,0
740,9335259,603161,0.174,Employed,Mortgage,0
657,9848116,3597718,0.159,Self-Employed,Rent,0
696,3245466,4276160,0.168,Employed,Own,0
767,15149492,981973,0.184,Employed,Mortgage,0
786,8174919,1062732,0.158,Unemployed,Mortgage,0
674,8075983,2546440,0.184,Unemployed,Mortgage,0
788,5039677,415000,0.278,Employed,Mortgage,0
687,4458096,449528,0.222,Unemployed,Own,0
613,4475526,1359125,0.245,Employed,Own,0
632,6041155,4895174,0.159,Employed,Mortgage,0
562,10013369,1219353,0.247,Employed,Own,0
609,5441148,1775370,0.307,Unemployed,Mortgage,0
651,3150680,3658225,0.387,Unemployed,Rent,0
744,7504777,7229383,0.23,Employed,Rent,0
818,7876700,1104647,0.157,Employed,Mortgage,0
569,6894063,1634851,0.244,Employed,Rent,1
711,7214443,5922548,0.219,Employed,Mortgage,0
597,4339987,569961,0.411,Self-Employed,Rent,1
718,3123124,3396111,0.252,Employed,Mortgage,0
670,3219487,810993,0.14,Self-Employed,Rent,0
534,2193690,1777279,0.345,Employed,Own,0
754,5594615,1395811,0.271,Employed,Rent,1
632,4766441,845936,0.062,Employed,Rent,0
637,3988150,831245,0.254,Unemployed,Mortgage,0
594,2075000,2007355,0.251,Employed,Mortgage,0
628,2663553,3320830,0.415,Employed,Mortgage,0
714,8703712,1510600,0.13,Employed,Mortgage,0
665,3564435,1737439,0.199,Unemployed,Rent,1
706,5951432,2467341,0.169,Self-Employed,Own,0
709,2479293,837968,0.114,Self-Employed,Mortgage,0
786,10203024,2776267,0.178,Employed,Rent,0
653,4624262,2935461,0.29,Self-Employed,Mortgage,1
562,5745094,8300000,0.215,Employed,Mortgage,0
765,15898401,1271311,0.381,Self-Employed,Mortgage,0
653,10607400,1200429,0.105,Employed,Mortgage,0
769,4263295,2833786,0.323,Employed,Mortgage,1
711,3693998,2934963,0.364,Unemployed,Mortgage,0
670,4223040,1137432,0.167,Unemployed,Rent,0
708,6412663,1247490,0.347,Employed,Rent,1
836,4714815,2416047,0.19,Employed,Own,0
846,4078454,926861,0.258,Self-Employed,Mortgage,0
686,10349353,1241016,0.313,Unemployed,Mortgage,1
693,4693733,1761260,0.25,Self-Employed,Rent,0
766,15691565,3321743,0.12,Employed,Mortgage,0
612,5200199,1083399,0.168,Employed,Rent,0
707,12133770,455504,0.206,Self-Employed,Rent,1
678,5941638,432430,0.33,Self-Employed,Rent,0
705,8043032,685082,0.131,Self-Employed,Mortgage,0
613,3459191,659767,0.307,Employed,Mortgage,0
553,3242810,1484538,0.411,Employed,Rent,0
514,6253801,719693,0.207,Employed,Rent,1
591,8146616,1011438,0.072,Self-Employed,Mortgage,0
643,5070636,962219,0.334,Employed,Mortgage,0
657,2612010,1215286,0.174,Employed,Mortgage,0
835,2517307,4174900,0.171,Self-Employed,Rent,0
768,2434556,2629274,0.391,Self-Employed,Mortgage,1
603,2075000,1673031,0.125,Employed,Own,1
708,5249169,1197939,0.092,Self-Employed,Mortgage,0
647,8722055,1221511,0.187,Employed,Rent,0
657,4936342,2080810,0.461,Employed,Mortgage,0
695,2075000,2489917,0.152,Employed,Rent,0
730,4517441,876314,0.263,Employed,Rent,0
653,4581102,1697018,0.202,Unemployed,Rent,0
765,14172831,415000,0.24,Unemployed,Own,0
589,2398285,1918462,0.178,Employed,Mortgage,0
681,4087750,2820257,0.165,Self-Employed,Own,0
850,11661085,1359706,0.249,Employed,Mortgage,0
698,6223423,5899723,0.141,Self-Employed,Mortgage,0
795,6586299,892665,0.313,Self-Employed,Rent,0
687,5262615,1926181,0.144,Employed,Mortgage,0
726,5860879,1613271,0.436,Employed,Rent,1
675,7331141,1542057,0.258,Employed,Mortgage,0
666,3315435,1527034,0.324,Employed,Rent,0
618,7708791,1783006,0.234,Unemployed,Rent,0
714,2501371,2994889,0.191,Employed,Mortgage,0
612,5856314,4339406,0.174,Employed,Rent,1
733,5434176,1651617,0.253,Employed,Rent,0
767,3651668,2927244,0.202,Unemployed,Own,0
709,4913517,1012185,0.33,Employed,Rent,0
657,3640297,2827810,0.313,Self-Employed,Rent,0
716,2908071,970353,0.303,Employed,Rent,0
655,4164193,3549412,0.308,Employed,Rent,0
755,2861508,7773946,0.276,Employed,Mortgage,0
533,5839963,1518734,0.199,Employed,Rent,0
653,2796270,415000,0.162,Employed,Mortgage,0
521,7094508,1127140,0.174,Self-Employed,Mortgage,0
560,2752695,3918264,0.274,Self-Employed,Rent,1
789,3744130,2436299,0.138,Employed,Own,0
752,3636562,1969092,0.278,Employed,Own,0
622,9639869,3351457,0.12,Employed,Rent,0
560,5861875,2322008,0.272,Employed,Rent,1
443,4470297,3879586,0.234,Self-Employed,Rent,1
637,6376973,3148522,0.153,Self-Employed,Rent,0
850,2075000,4799558,0.121,Self-Employed,Mortgage,0
715,4863551,2126543,0.378,Employed,Mortgage,0
635,13491899,3117397,0.239,Employed,Mortgage,0
717,5309510,1334225,0.144,Employed,Rent,0
555,5141186,1085806,0.376,Unemployed,Rent,1
656,6536416,5463392,0.326,Employed,Own,0
688,7776685,1924521,0.287,Unemployed,Own,0
673,2075000,2905913,0.133,Employed,Rent,1
743,2142894,1803922,0.162,Employed,Mortgage,0
708,5520579,1097177,0.077,Self-Employed,Mortgage,1
733,3476040,1666972,0.14,Employed,Mortgage,0
625,9576789,4520097,0.198,Employed,Mortgage,0
752,4245035,2440034,0.233,Employed,Own,0
810,2075000,499245,0.286,Unemployed,Rent,0
602,2636163,1422869,0.152,Employed,Rent,0
609,2075000,5759951,0.091,Unemployed,Own,1
787,4420580,1424280,0.12,Employed,Rent,0
665,4522836,469033,0.292,Employed,Rent,0
792,4019275,6224336,0.352,Employed,Mortgage,0
645,8523021,2667122,0.191,Employed,Mortgage,1
796,9048411,1575091,0.207,Unemployed,Mortgage,0
691,4563672,1275461,0.329,Unemployed,Mortgage,0
701,2075000,3528828,0.205,Unemployed,Mortgage,0
805,6766409,1131954,0.179,Unemployed,Rent,0
651,6560154,3695492,0.299,Employed,Mortgage,0
605,5800953,2417790,0.305,Employed,Mortgage,0
644,8117898,1963282,0.2,Self-Employed,Own,1
716,2775769,1831561,0.301,Employed,Rent,0
555,13567927,1463539,0.154,Self-Employed,Rent,0
731,3075980,3439354,0.215,Employed,Mortgage,0
637,7227889,902625,0.241,Employed,Rent,0
772,2137582,531532,0.144,Employed,Rent,0
488,3121132,2543203,0.158,Employed,Own,1
617,10606985,2573332,0.178,Employed,Mortgage,0
545,4361816,2315202,0.276,Employed,Rent,0
614,7563209,2200662,0.344,Employed,Rent,0
700,5594615,1321775,0.344,Employed,Rent,0
666,4715479,2870721,0.312,Employed,Mortgage,1
660,9828196,1602315,0.169,Employed,Mortgage,0
667,4414936,1176276,0.406,Employed,Rent,0
696,2075000,1329743,0.078,Self-Employed,Rent,0
599,3325810,6805834,0.303,Employed,Rent,1
737,6546459,491111,0.264,Employed,Rent,0
733,6056178,2347074,0.111,Employed,Rent,0
711,2270050,510699,0.193,Employed,Mortgage,1
